Food_Code;Display_Name;Portion_Default;Portion_Amount;Portion_Display_Name;Factor;Increment;Multiplier;Grains;Whole_Grains;Vegetables;Orange_Vegetables;Darkgreen_Vegetables;Starchy_Vegetables;Other_Vegetables;Fruits;Milk;Meats;Soy;Drybeans_Peas;Oils;Solid_Fats;Added_Sugars;Alcohol;Calories;Saturated_Fats
93301090;Manhattan;1;100.000;cocktail;210.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;13.824.300;13.824.300;.00000
93301090;Manhattan;2;400.000;fluid ounces (no ice);400.000;100.000;.25000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;26.332.000;26.332.000;.00000
93301100;Margarita;1;100.000;cocktail (incl. frozen);630.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.15819;.00000;.00000;.00000;.00000;.01389;.00000;6.012.325;32.536.980;42.575.400;.03906
93301100;Margarita;2;400.000;fluid ounces (no ice);400.000;100.000;.25000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.10044;.00000;.00000;.00000;.00000;.00882;.00000;3.817.349;20.658.400;27.032.000;.02480
93301110;Martini;1;100.000;cocktail;200.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;12.951.400;12.992.000;.00000
93301110;Martini;2;400.000;fluid ounces (no ice);400.000;100.000;.25000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;25.902.800;25.984.000;.00000
93301190;Rum & coke;1;100.000;cocktail;1.200.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;9.859.676;16.632.000;27.360.000;.01440
93301190;Rum & coke;2;800.000;fluid ounces (no ice);800.000;100.000;.12500;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;6.573.118;11.088.000;18.240.000;.00960
93301200;Pina colada;1;100.000;cocktail;800.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.42480;.00000;177.360;.00000;.00000;.43840;.00000;14.648.105;16.632.000;41.760.000;396.000
93301200;Pina colada;2;800.000;fluid ounces (no ice);800.000;100.000;.12500;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.42480;.00000;177.360;.00000;.00000;.43840;.00000;14.648.105;16.632.000;41.760.000;396.000
93301450;Liqueur with cream;1;200.000;fluid ounces;200.000;100.000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;8.735.119;2.265.648;9.290.000;20.339.400;600.852
93401000;Table wine (all);1;100.000;standard wine glass;500.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;11.357.500;11.357.500;.00000
